chr,pos,value
8,111994790,-9.439924078
6,22289340,-9.195841592
20,56138824,-8.885357255
12,86272421,-8.699832993
11,120019110,-7.949887404
7,93703770,-7.827061546
1,6503139,-7.750162222
16,4082475,-7.371165988
1,202225969,-7.063182108
4,156808724,-6.917442253
2,96810042,-6.654468858
2,85413954,-6.623680895
11,17618808,-6.602726501
17,4803719,-6.451430653
7,16910320,-6.449721994
20,61460053,-6.424529227
7,16852246,-6.375541282
2,238496611,-6.374682882
21,43804477,-6.3629487
4,76983146,-6.255556974
10,116025145,-6.243202257
7,121607616,-6.075654661
12,52434953,-6.044526872
11,27105814,-6.029957334
9,136521071,-5.996009165
22,46844899,-5.973326805
5,145388748,-5.921479833
X,107534753,-5.789866203
12,131673516,-5.788423928
17,39086417,-5.745595226
5,127794239,-5.734477756
22,19034781,-5.694434332
18,11810944,-5.690215491
2,201496189,-5.682028124
8,102593307,-5.667419852
15,58360332,-5.584329636
1,47254297,-5.564558165
19,286216,-5.521273454
8,120432569,-5.514974344
17,62007907,-5.491241008
2,21662358,-5.470267524
17,19288654,-5.456238547
9,140332542,-5.324878266
19,35610980,-5.306196229
9,21507654,-5.26534897
17,42988340,-5.189138218
1,57234923,-5.15742538
12,52636137,-5.136238435
1,3467271,-5.083699467
14,55601477,-5.06155705
21,46842308,-5.045401894
22,42762824,-4.990763037
3,148910019,-4.985797363
9,80106412,-4.943381798
5,121723481,-4.910211059
16,55852006,-4.907643952
8,142446349,-4.904531628
10,125196595,-4.859048778
11,35502609,-4.857855978
2,30114228,-4.853350727
2,30126264,-4.852961997
9,21981525,-4.851273527
22,45947566,-4.822870496
1,203151968,-4.787858668
4,185076121,-4.78587656
13,113404385,-4.771508861
9,140774699,-4.768723871
11,100950805,-4.755816671
3,46501930,-4.742269146
12,52452765,-4.736657349
4,187578406,-4.725640765
7,150037085,-4.679643726
13,112761881,-4.667750072
4,58023802,-4.66227443
3,184289884,-4.655906064
6,41613302,-4.651288936
19,2477188,-4.642877448
10,98863008,-4.631534264
20,36775921,-4.626412064
11,67200854,-4.625565134
10,129733696,-4.610383542
10,43599137,-4.59677008
3,50309983,-4.586809301
12,113555334,-4.5807252
8,70628791,-4.556421135
16,77375360,-4.554427647
16,31155830,-4.535329319
3,50250545,-4.520333703
11,99560649,-4.479793927
10,105309776,-4.435108842
17,182137,-4.372576737
8,108386002,-4.360018294
14,101196790,-4.34351976
11,70479397,-4.324826638
3,149367377,-4.318289149
16,335183,-4.308559042
11,68148410,-4.300654238
6,41998455,-4.283441573
5,168408439,-4.277412501
2,21818939,-4.260113577
12,107076507,-4.236328799
5,147943696,-4.236196731
11,70492968,-4.23242257
8,123714085,-4.23178035
6,128821996,-4.227982055
7,93517506,-4.203019522
3,35758212,-4.1863434
2,56122188,-4.176639543
18,57569359,-4.163662619
8,70663290,-4.151692699
13,113443062,-4.149946247
3,73552837,-4.141170369
15,58517843,-4.134534361
4,106487071,-4.12915988
7,76106038,-4.126382691
15,101953111,-4.107681796
15,89759041,-4.106958558
11,129707806,-4.105159643
21,46828640,-4.097926253
3,138669184,-4.097531887
17,9197729,-4.080117179
19,49356121,-4.073158596
11,76882797,-4.041224055
18,60042745,-4.039900726
3,157114469,-4.030852462
17,60737860,-4.0199554
2,233348537,-4.017378161
7,103371097,-4.007251131
19,17724885,-3.9934983
16,6057909,-3.986780681
10,57269478,-3.983103024
17,73735653,-3.977493304
12,48285870,-3.969460288
14,101443488,-3.964119465
22,20877257,-3.963006353
12,107117773,-3.953157261
22,18466178,-3.952712192
21,46879343,-3.92273287
19,19718314,-3.90619674
12,107066633,-3.900881727
19,38599656,-3.8996877
17,41631100,-3.888589879
17,27043373,-3.854377074
16,12854079,-3.838349304
1,151340993,-3.799667738
19,54937236,-3.793317669
5,141878212,-3.792031434
15,76470529,-3.790140443
11,73365543,-3.787800591
X,107811924,-3.774728202
1,31682496,-3.770427034
17,80753666,-3.769134988
7,76604137,-3.765146018
7,152161752,-3.755710458
1,151818607,-3.739431474
2,3014309,-3.713063577
16,22136073,-3.703874012
X,107305307,-3.69663478
3,193855227,-3.688053801
3,111827516,-3.683636519
16,1256842,-3.663517977
19,45896249,-3.663407682
1,2491949,-3.659006331
22,27066136,-3.648174096
3,141620161,-3.640338041
7,100202799,-3.638473995
10,57182254,-3.637135159
11,67786396,-3.624954825
16,84862358,-3.613677357
6,731131,-3.587103409
9,130913542,-3.584296331
1,55259568,-3.580302506
4,3484116,-3.577287646
4,113946932,-3.574574373
16,67317407,-3.569963805
2,945640,-3.569016552
2,1059423,-3.552887898
7,73463178,-3.551034849
11,60639100,-3.535552528
11,398761,-3.528189743
15,41860704,-3.522240501
7,128851501,-3.521436008
13,102240211,-3.521241529
11,45275817,-3.514153344
16,24677563,-3.50495626
8,144640304,-3.497924741
2,242664569,-3.484389196
16,1675895,-3.484015317
18,10907533,-3.481582869
12,115115014,-3.481459602
11,70172146,-3.47709404
15,50501492,-3.470698745
12,121170674,-3.470206941
17,58237778,-3.468973155
4,1802816,-3.464559228
17,2136439,-3.463754659
19,5999394,-3.449568787
8,133313154,-3.447924557
12,131144847,-3.43809543
15,42163310,-3.435636732
19,16553076,-3.435193298
9,132697317,-3.431577577
2,98965530,-3.426410047
1,110711959,-3.421301138
20,62443651,-3.420373481
10,7768357,-3.418838126
2,1347578,-3.412246555
3,48617103,-3.410093216
12,131532233,-3.409293118
19,8397807,-3.403108546
4,2345849,-3.397805266
21,44840701,-3.396941139
2,178129665,-3.387083987
3,55511858,-3.385962449
22,29424225,-3.369369249
7,100467918,-3.366689175
16,69275142,-3.364942387
7,158331379,-3.360362569
15,101534868,-3.356722404
15,99430326,-3.341857426
16,8942044,-3.33938677
16,1489470,-3.33853896
3,138658446,-3.338466941
22,43553384,-3.329022224
X,9999788,-3.317354838
4,47718069,-3.313909005
12,52405198,-3.313479952
10,105258255,-3.31150831
19,10005811,-3.302914271
12,15036487,-3.300050731
4,1652835,-3.293960968
17,79109813,-3.293764103
19,6259489,-3.293531315
10,5113712,-3.281990403
22,18488555,-3.280368257
11,123328112,-3.277196478
12,123567611,-3.269424075
5,175359741,-3.24936413
21,28212897,-3.248634193
2,10893505,-3.246702001
22,33717825,-3.245982787
7,153754658,-3.242597877
8,139325665,-3.241106684
6,128826845,-3.234566158
2,1155053,-3.234336156
15,33880733,-3.229271996
16,117206,-3.228231774
2,101451402,-3.227110713
1,25978318,-3.226283415
10,24410223,-3.223262056
3,76827480,-3.219741846
17,19317513,-3.206036646
22,42668480,-3.200275744
17,17411143,-3.200179057
14,100530177,-3.191315351
11,63681504,-3.190593362
9,9463484,-3.190491449
1,17318503,-3.189085024
22,29401658,-3.187364961
16,87777340,-3.1785969
11,9265525,-3.178327643
17,39974198,-3.175030021
16,12467212,-3.173734076
7,128484879,-3.172928188
16,84903982,-3.169503564
21,42813995,-3.163524617
19,41117257,-3.162352277
1,10776684,-3.15731173
11,116716639,-3.154301335
4,186439808,-3.15220988
3,38123106,-3.148763968
16,89781418,-3.14669515
5,116122,-3.14280881
2,110666592,-3.14207657
1,43678924,-3.140584139
21,47535387,-3.139883616
5,178655141,-3.137816814
22,45397973,-3.137431959
21,30396893,-3.136465516
2,231908319,-3.135321255
1,151497077,-3.134920255
7,153791207,-3.131053395
3,140838495,-3.130928997
17,61028467,-3.130254251
16,12463639,-3.126652747
8,53065416,-3.124639377
15,39882473,-3.122855475
3,195303324,-3.120548902
8,95268029,-3.120011162
5,9548516,-3.114609653
7,31005576,-3.113815449
8,142295644,-3.111441111
14,74372154,-3.110984088
14,62008115,-3.108433407
2,167305420,-3.106415092
13,109554427,-3.105576968
12,85280443,-3.105261929
7,45956711,-3.101689782
21,42553482,-3.098369548
12,57485968,-3.096316106
17,48269821,-3.095225438
4,679424,-3.088645008
1,153658790,-3.086979919
7,150715441,-3.086363799
17,39847028,-3.085345719
17,73603534,-3.084533802
6,6232782,-3.084463333
6,166876511,-3.082535839
19,39994328,-3.080115091
12,53317357,-3.07622423
3,100253875,-3.073738742
16,57844543,-3.071937413
7,5711077,-3.071626576
16,67648764,-3.070451325
7,143077186,-3.067429526
9,43804475,-3.064990151
16,89652915,-3.062622709
2,217177254,-3.060791345
5,132723853,-3.060736729
X,65435550,-3.047948269
15,57820296,-3.046670267
6,138878444,-3.046647651
16,54318945,-3.045677828
17,19482329,-3.04464885
2,64651643,-3.03776528
10,13753234,-3.037122717
16,4687477,-3.034194241
16,977764,-3.030614414
10,57228534,-3.026439475
6,148456742,-3.025886564
2,242691112,-3.024046956
19,6388592,-3.023961307
11,70323539,-3.016279613
17,1998914,-3.012872354
6,133758408,-3.012520486
11,102042673,-3.011402254
19,45639743,-3.008519623
11,70204543,-3.006154891
1,212471855,-3.004965589
16,1391520,-3.004109123
13,38671161,-3.003122383
12,105445961,-2.99995409
17,2867365,-2.993683033
19,18700790,-2.993323607
1,32143884,-2.991488545
16,708572,-2.98262683
18,12325993,-2.975650905
1,155170972,-2.970949807
16,23432157,-2.970919692
9,131186828,-2.969968839
7,93619589,-2.968782397
11,119582632,-2.966743767
22,24581152,-2.966188138
11,14136780,-2.964718927
9,130581572,-2.953316371
1,21623025,-2.950963503
2,137979201,-2.946856542
17,9369399,-2.939221343
14,91810927,-2.937552078
16,78568908,-2.936473242
15,70365322,-2.933753939
11,48036682,-2.933635019
11,47148503,-2.931700787
6,10561028,-2.930114267
7,35267900,-2.928969673
10,23271735,-2.924372464
19,54053879,-2.92342412
11,8701548,-2.921043339
5,167808982,-2.920332716
19,6072547,-2.91883682
1,212488946,-2.918061626
2,98988841,-2.917161173
16,84625441,-2.916292054
6,158819255,-2.914484866
5,135382045,-2.911453638
15,93154692,-2.911155382
14,100873443,-2.910267748
16,761011,-2.909272289
2,101524952,-2.907836505
22,20137174,-2.901641256
11,46321092,-2.899168246
17,31263526,-2.890172914
19,17947234,-2.888044754
5,164658170,-2.887553094
17,43233322,-2.887485619
16,176477,-2.88701794
10,118426491,-2.886299303
17,43631883,-2.882854279
3,57164172,-2.879552246
19,47233908,-2.877617421
15,59981166,-2.876035949
4,99424300,-2.870481144
17,72434391,-2.86944696
11,65351815,-2.869120292
22,50647430,-2.868642745
16,1763868,-2.865828828
3,28708056,-2.86576885
7,1483619,-2.864811408
3,133711284,-2.864393874
7,1121156,-2.863198533
11,292621,-2.860781154
18,55859997,-2.858666852
1,40774823,-2.857669058
7,2560487,-2.854507701
7,12651715,-2.851892243
2,10590136,-2.851620652
2,43006981,-2.850863671
1,5987702,-2.849495382
11,57373593,-2.848518517
17,4539893,-2.846326177
7,137640403,-2.843277475
15,65644921,-2.842678709
22,40920257,-2.842571256
15,101840783,-2.836570153
17,19204741,-2.835987726
19,11124140,-2.834187303
2,220364197,-2.834003419
17,9513360,-2.830086094
16,1273454,-2.826292945
22,40776481,-2.825632437
19,19103060,-2.824243925
12,13359679,-2.824031718
21,32711512,-2.820056472
10,95154130,-2.815714195
4,55968200,-2.811509665
11,9100366,-2.810053386
10,13725697,-2.806748912
19,950860,-2.804903994
16,47563464,-2.80100533
22,25503533,-2.797657789
22,42672709,-2.797175409
11,75191316,-2.793817409
16,65068835,-2.791522145
10,28969069,-2.789794145
2,3161047,-2.787874919
2,47265040,-2.785817186
8,62213175,-2.783816223
8,144801528,-2.783447996
6,41694952,-2.782618748
10,129730210,-2.777280731
17,78998324,-2.777207607
17,39682214,-2.776401942
2,112250954,-2.773170786
5,16800883,-2.772028865
7,98252894,-2.770086551
8,10922378,-2.769421303
17,62078687,-2.768729231
14,69665273,-2.764950785
5,180052565,-2.762039522
20,46350226,-2.760419346
20,57410224,-2.758016838
5,68821025,-2.756489127
11,557817,-2.75458954
1,153507897,-2.751515667
3,52486602,-2.751169773
17,49141358,-2.750412412
19,13242804,-2.748843906
11,3056557,-2.746869098
3,49403508,-2.745131501
17,70835517,-2.736096039
3,124550530,-2.735088034
11,17456440,-2.733903943
22,19980875,-2.733531958
10,121094850,-2.733262183
19,48124304,-2.725522538
15,27404614,-2.724442799
1,169519615,-2.724071384
7,1076094,-2.719868046
5,131601255,-2.71951928
11,73984774,-2.718715116
21,44157786,-2.71829394
7,128841049,-2.717256448
15,52326863,-2.716888571
15,42441085,-2.714422396
11,12007984,-2.713605316
11,621321,-2.713138214
8,145439357,-2.708901438
3,170357411,-2.708587106
8,142262888,-2.706675978
13,34090124,-2.70422178
1,151585176,-2.697302605
11,119605313,-2.694472296
16,1801911,-2.694023952
6,166178472,-2.693193447
5,140946602,-2.692917552
12,57507556,-2.692613934
8,29940628,-2.692208631
22,21997568,-2.691704152
16,2143431,-2.690802598
8,24184042,-2.687540214
19,1140959,-2.681621909
11,2007808,-2.680629689
1,29608176,-2.676035414
19,5563111,-2.674427611
5,140941354,-2.673454851
22,20054284,-2.672981423
19,19737108,-2.671416443
17,40451763,-2.671138148
19,31874243,-2.667668477
17,149169,-2.665014742
12,104214625,-2.664091002
8,140926173,-2.66349484
3,185797847,-2.655826373
7,151090404,-2.651285265
17,76193590,-2.648773651
14,55734139,-2.647197973
15,93133917,-2.646905144
15,41304646,-2.644814921
22,36593029,-2.644210509
3,50470954,-2.644120562
12,118328036,-2.643708337
10,75142222,-2.642170897
19,17515102,-2.641407311
2,43458622,-2.639886924
18,46207368,-2.639650045
15,100697002,-2.639419749
8,22083538,-2.635586849
7,149700027,-2.631948399
4,110692593,-2.631135141
18,7029778,-2.630125118
1,7429667,-2.628935538
16,66772697,-2.624425094
11,614276,-2.624042553
12,49255304,-2.621684566
8,53109531,-2.619624133
16,57070420,-2.617054017
7,44045555,-2.61689694
1,154409797,-2.614937885
16,89389529,-2.611871016
5,111616575,-2.611470073
5,124044975,-2.611125938
19,39179379,-2.609655712
17,29462868,-2.609318649
12,112250910,-2.606503706
17,43535820,-2.602825979
17,40197488,-2.599010672
13,113790485,-2.597971103
9,35800940,-2.595969902
17,6668866,-2.593954896
9,110249948,-2.590876107
17,46456178,-2.58984073
19,45257131,-2.587490753
12,122670151,-2.587397746
2,236415302,-2.585646336
11,67275044,-2.584331748
15,76436820,-2.58297183
15,52536257,-2.582687145
14,73722776,-2.580974163
19,46511457,-2.57901796
16,22378405,-2.578237292
11,65637487,-2.576169347
12,27702844,-2.575646063
2,230808648,-2.574544103
2,9446353,-2.573433981
15,69746689,-2.572956951
8,38194284,-2.571853954
20,33040546,-2.571852436
20,33576723,-2.570925318
8,53198459,-2.57032548
16,30120654,-2.567585686
1,25722711,-2.567535539
5,126284953,-2.563831609
7,99718799,-2.563361312
17,19440522,-2.563339772
17,171713,-2.563308105
19,15876411,-2.561780971
15,24234450,-2.560383699
16,81612071,-2.559825659
20,57286270,-2.558841032
15,80462060,-2.555856949
19,44058621,-2.554063394
1,174866614,-2.551102273
14,105202092,-2.549572446
14,88973555,-2.549186781
11,78101279,-2.548422308
5,133800306,-2.546918335
11,44613945,-2.545952164
15,85388312,-2.541288814
4,55565483,-2.540518705
7,120152053,-2.540036571
16,85094605,-2.540020252
10,103583685,-2.538691232
6,128377712,-2.538507236
19,11687649,-2.536593816
6,152134862,-2.536373589
5,132740201,-2.536169361
14,94577107,-2.534312939
8,130956871,-2.532398397
12,53615559,-2.530403521
17,33689022,-2.529598775
9,33802370,-2.529471849
1,934947,-2.527669344
3,50646591,-2.527439919
7,102071246,-2.527387016
4,2934437,-2.52468455
17,43247561,-2.520816753
19,19701123,-2.520348469
5,165229,-2.519251153
3,129133829,-2.519075823
3,130781672,-2.516654501
11,125132608,-2.516354563
12,7267872,-2.515597211
22,42524704,-2.513128127
17,32583263,-2.512243525
11,86546383,-2.51144652
2,898519,-2.508736133
2,20076714,-2.506293838
1,155172110,-2.505454874
8,124028895,-2.504960377
17,27475004,-2.504479615
19,10389401,-2.501549047
11,30628866,-2.499648439
8,126362048,-2.49633025
19,50361386,-2.496183032
17,27262530,-2.492245978
17,55681995,-2.491976369
7,4880018,-2.490703719
17,18763723,-2.49031015
7,148712943,-2.490188108
2,25647249,-2.489866241
17,79115486,-2.488074779
9,101769265,-2.487678998
1,107854354,-2.486892384
7,65853678,-2.486810533
16,71408478,-2.480837706
12,56503043,-2.479560808
17,9364422,-2.4790133
12,53406796,-2.478987435
5,177388339,-2.475561343
9,131233263,-2.474791725
17,37898862,-2.4742523
16,27350544,-2.471734059
12,65324238,-2.468894996
19,14569695,-2.467088359
11,12943602,-2.462751922
14,102517608,-2.461591565
6,144643636,-2.461554572
16,68615550,-2.459124269
22,42538395,-2.45903685
14,81605067,-2.457760865
11,58957481,-2.456482565
17,73680251,-2.454525154
15,35302031,-2.454478936
16,67773158,-2.451490069
4,77562148,-2.450668529
3,100590179,-2.44883123
1,26510135,-2.44682156
16,2996996,-2.446041724
10,102779165,-2.444180932
7,100412654,-2.444123542
15,85297043,-2.443494202
17,21203268,-2.443258274
11,47535799,-2.440604197
7,132070769,-2.439318117
10,104158074,-2.437861594
2,47296652,-2.437638309
1,95594906,-2.43447457
2,242067596,-2.432032153
11,3148157,-2.430679507
12,57564705,-2.429086851
8,145500568,-2.425494858
16,1370369,-2.425077622
9,133985201,-2.422729679
1,151730202,-2.422610402
3,71346962,-2.422524153
1,8866514,-2.421424164
17,70865469,-2.420571577
16,15195661,-2.420057805
