chr,pos,value
4,142247188,8.114396149
4,78482947,8.010955925
11,2675391,5.894196772
12,70614277,5.22399004
5,92259092,4.852299482
8,58454780,4.560662895
8,63386302,4.487085026
8,91845085,3.809390836
6,46480142,3.585240936
12,1964562,3.556758719
8,91887707,3.526223872
20,11894688,3.441949717
2,166915096,3.409286321
18,14104883,3.358256952
1,18569608,3.315019962
14,58046694,3.30862447
4,182184248,3.308270269
12,68343406,3.249821101
1,100730620,3.209560118
2,182361421,3.164830862
5,24583729,3.049547536
2,166986101,3.01592731
15,35426561,2.999208993
5,24566148,2.957144594
8,106932613,2.851647986
4,182032772,2.752709493
8,27463491,2.745490401
8,14736947,2.665848984
2,133681098,2.613098199
1,149591257,2.594091391
15,41649070,2.568411254
8,89192245,2.545819791
1,50931981,2.496556024
16,48607443,2.4779656
X,19074091,2.460532406
14,62603779,2.381399425
2,163639964,2.303624138
4,120982496,2.163645837
5,110961673,2.150535092
4,181666254,2.112078581
2,120127311,2.111319442
3,42669667,2.098933199
4,75939560,2.087869875
6,96024192,2.072664391
X,90679937,2.063905712
X,32236676,2.05814999
1,97674995,2.053045648
3,132970491,2.046133885
5,111165739,2.011536853
14,42065561,2.008662584
2,134032437,1.971358441
12,26275509,1.938575585
10,106112341,1.917288418
1,109823993,1.868295276
5,82361173,1.822451527
1,72037940,1.808336797
1,149760895,1.712926069
6,8653224,1.701622
1,98403166,1.672873141
X,69047615,1.644269499
4,48858122,1.608247152
9,115767001,1.571117184
8,92988891,1.56648211
6,25997446,1.550605632
5,149172223,1.550058097
1,145440552,1.522809434
9,86325401,1.514749184
12,26789357,1.507402521
8,67026171,1.502428775
19,37010579,1.479490367
3,86059245,1.444558527
17,17727019,1.419661956
2,135763549,1.406613325
3,114205709,1.388235582
9,104237252,1.382440852
14,52369486,1.381300963
3,192171368,1.379613018
19,22011339,1.373585791
16,67098990,1.37257778
4,42534756,1.362285475
14,89018389,1.359322649
4,120482848,1.352205683
4,6710517,1.33771384
6,82440254,1.33048814
1,159995663,1.325497816
17,74187494,1.32216608
12,26523140,1.320858337
7,107393127,1.314412602
7,123390171,1.303811945
3,5193250,1.286504912
7,23660662,1.279449351
7,26414042,1.230970393
6,81164352,1.216130028
12,95344188,1.18227922
4,6674004,1.171834327
3,156499993,1.131640721
7,64852375,1.127214845
20,5480986,1.110306928
8,92077277,1.099223553
1,85132938,1.079619922
7,23017313,1.077052285
6,65423497,1.071039596
7,29578563,1.062962738
5,38614103,1.041419602
2,74616811,1.038798318
11,121171282,1.022902347
3,111705033,1.016646347
